2019-08-21 21:46:17,489 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-08-21 21:46:17,759 [    270]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-191.7479.19, 28 May 2019 02:23) 
2019-08-21 21:46:17,759 [    270]   INFO -        #com.intellij.idea.Main - OS: Mac OS X (10.13.6, x86_64) 
2019-08-21 21:46:17,759 [    270]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_202-release-1483-b53 (JetBrains s.r.o) 
2019-08-21 21:46:17,759 [    270]   INFO -        #com.intellij.idea.Main - JVM: 25.202-b53 (OpenJDK 64-Bit Server VM) 
2019-08-21 21:46:17,797 [    308]   INFO -        #com.intellij.idea.Main - JVM Args: -Dapple.awt.fileDialogForDirectories=true -Dapple.laf.useScreenMenuBar=true -Didea.classpath.index.enabled=false -Didea.config.path=/Users/darkhawk0000/ComputerScience/PersonalProjects/AlphaStockServer/AlphaApi/build/idea-sandbox/config -Didea.is.internal=true -Didea.platform.prefix=Idea -Didea.plugins.path=/Users/darkhawk0000/ComputerScience/PersonalProjects/AlphaStockServer/AlphaApi/build/idea-sandbox/plugins -Didea.smooth.progress=false -Didea.system.path=/Users/darkhawk0000/ComputerScience/PersonalProjects/AlphaStockServer/AlphaApi/build/idea-sandbox/system -Xms256m -Xmx512m -Dfile.encoding=UTF-8 -Duser.country=US -Duser.language=en -Duser.variant -ea 
2019-08-21 21:46:17,798 [    309]   INFO -        #com.intellij.idea.Main - ext: /Users/darkhawk0000/.gradle/caches/modules-2/files-2.1/com.jetbrains/jbre/jbrx-8u202-osx-x64-b1483.53/jdk/Contents/Home/jre/lib/ext: [sunec.jar, nashorn.jar, cldrdata.jar, jfxrt.jar, dnsns.jar, localedata.jar, sunjce_provider.jar, meta-index, sunpkcs11.jar, jaccess.jar, zipfs.jar] 
2019-08-21 21:46:17,798 [    309]   INFO -        #com.intellij.idea.Main - ext: /System/Library/Java/Extensions: [MRJToolkit.jar] 
2019-08-21 21:46:17,798 [    309]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2019-08-21 21:46:17,835 [    346]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 36 ms 
2019-08-21 21:46:17,996 [    507]   INFO - .intellij.idea.IdeaApplication - CPU cores: 4; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@67c75f7c[Running, parallelism = 4, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@1dffee2a 
2019-08-21 21:46:18,755 [   1266]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor duplicates-groovy.xml 
2019-08-21 21:46:18,763 [   1274]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor duplicates-detection-groovy.xml 
2019-08-21 21:46:19,019 [   1530]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 858 ms 
2019-08-21 21:46:19,222 [   1733]   INFO - llij.ide.plugins.PluginManager - 34 plugins initialized in 1073 ms 
2019-08-21 21:46:19,224 [   1735]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Android Support (10.3.3), Ant Support (191.7479.19), Bytecode Viewer (191.7479.19), Copyright (191.7479.19), Coverage (191.7479.19), Eclipse Integration (191.7479.19), EditorConfig (191.7479.19), Git Integration (191.7479.19), GitHub (191.7479.19), Gradle (191.7479.19), Groovy (191.7479.19), I18n for Java (191.7479.19), IDEA CORE (191.7479.19), IntelliJ Configuration Script (191.7479.19), IntelliLang (191.7479.19), JUnit (191.7479.19), Java Bytecode Decompiler (191.7479.19), Java Stream Debugger (191.7479.19), JavaFX (191.7479.19), Kotlin (1.3.21-release-IJ2019.1-3), Maven Integration (191.7479.19), Mercurial Integration (191.7479.19), Plugin DevKit (191.7479.19), Properties Support (191.7479.19), Settings Repository (191.7479.19), Smali Support (191.7479.19), Subversion (191.7479.19), Task Management (191.7479.19), Terminal (191.7479.19), TestNG-J (191.7479.19), UI Designer (191.7479.19), XPathView + XSLT Support (191.7479.19), XSLT-Debugger (191.7479.19), YAML (191.7479.19) 
2019-08-21 21:46:19,325 [   1836]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-08-21 21:46:19,326 [   1837]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (JRE-managed HiDPI) 
2019-08-21 21:46:22,232 [   4743]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: '/Users/darkhawk0000/ComputerScience/PersonalProjects/AlphaStockServer/AlphaApi/build/idea-sandbox/system/caches/names.dat' does not exist 
2019-08-21 21:46:22,234 [   4745]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=435; buffer=10; max=435 
2019-08-21 21:46:22,293 [   4804]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is disabled 
2019-08-21 21:46:23,441 [   5952]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-08-21 21:46:23,446 [   5957]   WARN - com.intellij.util.xmlb.Binding - no accessors for interface com.intellij.openapi.extensions.PluginDescriptor 
2019-08-21 21:46:23,454 [   5965]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63343 
2019-08-21 21:46:23,536 [   6047]   INFO - m.intellij.ui.mac.touchbar.NST - The graphics environment is headless, skip nst loading 
2019-08-21 21:46:23,728 [   6239]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:128, number of extensions:47 
2019-08-21 21:46:23,740 [   6251]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:12 
2019-08-21 21:46:23,757 [   6268]   INFO - il.indexing.FileBasedIndexImpl - Index FilenameIndex will be built. 
2019-08-21 21:46:23,792 [   6303]   INFO - il.indexing.FileBasedIndexImpl - Index filetypes will be built. 
2019-08-21 21:46:23,799 [   6310]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:56, number of extensions:50 
2019-08-21 21:46:23,800 [   6311]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:0 
2019-08-21 21:46:23,802 [   6313]   INFO - il.indexing.FileBasedIndexImpl - Index java.auto.module.name will be built. 
2019-08-21 21:46:23,806 [   6317]   INFO - il.indexing.FileBasedIndexImpl - Index GroovyDslFileIndex will be built. 
2019-08-21 21:46:23,823 [   6334]   INFO - il.indexing.FileBasedIndexImpl - Index FrameworkDetectionIndex will be built. 
2019-08-21 21:46:23,852 [   6363]   INFO - il.indexing.FileBasedIndexImpl - Index TodoIndex will be built. 
2019-08-21 21:46:23,965 [   6476]   INFO - il.indexing.FileBasedIndexImpl - Index IdIndex will be built. 
2019-08-21 21:46:23,972 [   6483]   INFO - il.indexing.FileBasedIndexImpl - Index Stubs will be built. 
